Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,Crystalforms upload name,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms short tag,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms alias,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Pose,[Other] upload_4 2025-04-02,[Other] upload_2 2025-02-28,[Other] upload_1 2025-02-12,[Other] fff_i1_design,[Other] New,[Other] P2 Wave 1,[Other] Active site fragment,[Other] upload_6_2025-02-13,[Other] S2 site,[Other] Fragment Screen,[Other] Bogyo covalents,[Other] Covalent,[Other] upload_1 2024-12-06,[Series] Indazole series,[Other] upload_061224,[Other] upload_5 2025-02-03,[Other] upload_3 2024-12-19,[Other] upload_4 2025-01-06,[Other] S3 site,[Other] S4 site,[Other] S5 site,[Other] Sun-roof open,[Other] upload_2 2024-12-12,[Other] S1 site,[Other] S1' site,[Series] Piperidine series,[Other] upload_3 2025-03-06,[Other] Lactam Series,[Other] P3 compound design,Main status,GOOD count,MEDIOCRE count,BAD count
A0450a,A71EV2A-x0450_A_201_v1,A71EV2A-x0450,Z100642432,CN(C)C(=O)c1ccc(F)cc1Br,A71EV2A-x0911/A/133/A_v1,True,F2 - A71_2A_open_small_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - A0911/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - Active Site,F2b - A0450/A/201,A1 - monomer,A0450a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0451a,A71EV2A-x0451_A_201_v1,A71EV2A-x0451,Z100643660,CNC(=O)c1cn(C)c2ccccc12,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0451a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0469a,A71EV2A-x0469_A_147_v1,A71EV2A-x0469,Z104924088,CC(C)N1CCN(c2ncccn2)CC1,A71EV2A-x0525/A/90/A_v1,True,F1 - A71_2A_open,4b - A71EV2A-x0469/A/147,4 - A71EV2A-x0525/A/246/1,F1z - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71_2A_open,4b - A0469/A/147,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,F1 - A71_2A_open,4b - A0469/A/147,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,A0469a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0473a,A71EV2A-x0473_A_147_v1,A71EV2A-x0473,Z1082839290,O=S(=O)(NC1CCCC1)C1CCOCC1,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0473a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,
A0486a,A71EV2A-x0486_A_147_v1,A71EV2A-x0486,Z1148165337,CN(C)C(=O)Cn1ncc2ccccc21,A71EV2A-x0486/A/143/A_v1,True,F1 - A71_2A_open,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,A0486a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0487a,A71EV2A-x0487_A_250_v1,A71EV2A-x0487,Z1148747945,CC(=O)Nc1ccncc1C,A71EV2A-x0911/A/133/A_v1,True,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3c - A0487/A/250,A1 - monomer,A0487a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0488a,A71EV2A-x0488_A_147_v1,A71EV2A-x0488,Z1154747269,O=c1ccncn1CCO,A71EV2A-x0488/A/68/A_v1,True,F1 - A71_2A_open,7b - A71EV2A-x0488/A/147,7 - A71EV2A-x0488/A/147/1,F1ad - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71_2A_open,7b - A0488/A/147,7 - A0488/A/147/1,F1ad - A0488/A/147,A1 - monomer,F1 - A71_2A_open,7b - A0488/A/147,7 - A0488/A/147/1,F1ad - A0488/A/147,A1 - monomer,A0488a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0497a,A71EV2A-x0497_A_147_v1,A71EV2A-x0497,Z1198158918,N#Cc1n[nH]c2ccccc12,A71EV2A-x3977/A/113/A_v1,True,F2 - A71_2A_open_small_cell,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F2u - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71_2A_open_small_cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,A0497a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0501a,A71EV2A-x0501_A_151_v1,A71EV2A-x0501,Z1198177230,COc1ccccc1-c1nnco1,A71EV2A-x0911/A/133/A_v1,False,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3c - A0487/A/250,A1 - monomer,A0501a,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0501b,A71EV2A-x0501_A_152_v1,A71EV2A-x0501,Z1198177230,COc1ccccc1-c1nnco1,A71EV2A-x0911/A/133/A_v1,True,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3d - A71EV2A-x0501/A/152/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3d - A0501/A/152,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3d - A0501/A/152,A1 - monomer,A0501a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0514a,A71EV2A-x0514_B_151_v1,A71EV2A-x0514,Z1201620232,COc1ccc2sc(N)nc2c1,A71EV2A-x0911/A/133/A_v1,True,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3c - A0487/A/250,A1 - monomer,A0514a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0514b,A71EV2A-x0514_A_250_v1,A71EV2A-x0514,Z1201620232,COc1ccc2sc(N)nc2c1,A71EV2A-x3181/A/20/A_v1,True,F3 - A71_2A_open_long_cell,5a - A71EV2A-x3181/A/202,5 - A71EV2A-x3181/A/202/1,F3y - A71EV2A-x0514/A/250/1,A1 - monomer,F3 - A71_2A_open_long_cell,5a - A3181/A/202,5 - A3181/A/202/1,F3y - A0514/A/250,A1 - monomer,F3 - A71_2A_open_long_cell,5a - A3181/A/202,5 - A3181/A/202/1,F3y - A0514/A/250,A1 - monomer,A0514b,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0515a,A71EV2A-x0515_A_201_v1,A71EV2A-x0515,Z1201621547,COC(=O)c1ccncc1N,A71EV2A-x0911/A/133/A_v1,True,F2 - A71_2A_open_small_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - A0911/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - Active Site,F2b - A0450/A/201,A1 - monomer,A0515a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0515b,A71EV2A-x0515_A_147_v1,A71EV2A-x0515,Z1201621547,COC(=O)c1ccncc1N,A71EV2A-x3977/A/113/A_v1,True,F2 - A71_2A_open_small_cell,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F2u - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71_2A_open_small_cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,A0515b,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0517a,A71EV2A-x0517_A_147_v1,A71EV2A-x0517,Z1203107138,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,A71EV2A-x0517/A/43/A_v1,True,F1 - A71_2A_open,8a - A71EV2A-x0517/A/147,8 - A71EV2A-x0517/A/147/1,F1ae - A71EV2A-x0517/A/147/1,A1 - monomer,F1 - A71_2A_open,8a - A0517/A/147,8 - A0517/A/147/1,F1ae - A0517/A/147,A1 - monomer,F1 - A71_2A_open,8a - A0517/A/147,8 - A0517/A/147/1,F1ae - A0517/A/147,A1 - monomer,A0517a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0525a,A71EV2A-x0525_A_246_v1,A71EV2A-x0525,Z1216861874,O=c1ccc(OC(F)F)c[nH]1,A71EV2A-x0525/A/90/A_v1,True,F1 - A71_2A_open,4c - A71EV2A-x0525/A/246,4 - A71EV2A-x0525/A/246/1,F1z - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,A0525a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0526a,A71EV2A-x0526_A_147_v1,A71EV2A-x0526,Z1217131798,Cc1nccn1-c1cccnc1,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0526a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,
A0528a,A71EV2A-x0528_A_147_v1,A71EV2A-x0528,Z1217960891,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,A71EV2A-x0911/A/133/A_v1,True,F2 - A71_2A_open_small_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - A0911/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - Active Site,F2b - A0450/A/201,A1 - monomer,A0528a,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0528b,A71EV2A-x0528_A_201_v1,A71EV2A-x0528,Z1217960891,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,A71EV2A-x3181/A/20/A_v1,True,F2 - A71_2A_open_small_cell,5a - A71EV2A-x3181/A/202,5 - A71EV2A-x3181/A/202/1,F2aa - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell,5a - A3181/A/202,5 - A3181/A/202/1,F2aa - A0528/A/201,A1 - monomer,F2 - A71_2A_open_small_cell,5a - A3181/A/202,5 - A3181/A/202/1,F2aa - A0528/A/201,A1 - monomer,A0528b,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0540a,A71EV2A-x0540_A_147_v1,A71EV2A-x0540,Z124039706,N#Cc1ccc(CNCc2ccc(F)cc2)cc1,A71EV2A-x0525/A/90/A_v1,True,F1 - A71_2A_open,4c - A71EV2A-x0525/A/246,4 - A71EV2A-x0525/A/246/1,F1z - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,A0540a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0541a,A71EV2A-x0541_A_147_v1,A71EV2A-x0541,Z1246465616,Cc1noc(C)c1C[C@@H](C)C(=O)N(C)C,A71EV2A-x0541/A/97/A_v1,True,F1 - A71_2A_open,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,A0541a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0554a,A71EV2A-x0554_A_201_v1,A71EV2A-x0554,Z1255459547,CC(=O)Nc1cccc2cc[nH]c12,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0554a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0554b,A71EV2A-x0554_A_147_v1,A71EV2A-x0554,Z1255459547,CC(=O)Nc1cccc2cc[nH]c12,A71EV2A-x0554/A/58/A_v1,True,F1 - A71_2A_open,14a - A71EV2A-x0554/A/147,14 - A71EV2A-x0554/A/147/1,F1al - A71EV2A-x0554/A/147/1,A1 - monomer,F1 - A71_2A_open,14a - A0554/A/147,14 - A0554/A/147/1,F1al - A0554/A/147,A1 - monomer,F1 - A71_2A_open,14a - A0554/A/147,14 - A0554/A/147/1,F1al - A0554/A/147,A1 - monomer,A0554b,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0556a,A71EV2A-x0556_A_147_v1,A71EV2A-x0556,Z1259207775,Cn1cc(N)c(C(=O)NC2CCC2)n1,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0556a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0566a,A71EV2A-x0566_A_147_v1,A71EV2A-x0566,Z1267800292,CNC(=O)c1cccc2cc[nH]c12,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1e - A71EV2A-x0566/A/147/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1e - A0566/A/147,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1e - A0566/A/147,A1 - monomer,A0566a,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0571a,A71EV2A-x0571_A_147_v1,A71EV2A-x0571,Z1270393711,COCc1cc(C(N)=O)no1,A71EV2A-x0517/A/43/A_v1,True,F1 - A71_2A_open,8a - A71EV2A-x0517/A/147,8 - A71EV2A-x0517/A/147/1,F1ae - A71EV2A-x0517/A/147/1,A1 - monomer,F1 - A71_2A_open,8a - A0517/A/147,8 - A0517/A/147/1,F1ae - A0517/A/147,A1 - monomer,F1 - A71_2A_open,8a - A0517/A/147,8 - A0517/A/147/1,F1ae - A0517/A/147,A1 - monomer,A0571a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0586a,A71EV2A-x0586_A_147_v1,A71EV2A-x0586,Z1333043510,CN1CCCc2ccc(S(N)(=O)=O)cc21,A71EV2A-x0541/A/97/A_v1,True,F1 - A71_2A_open,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,A0586a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0269a,A71EV2A-x0269_A_147_v1,A71EV2A-x0269,Z1456069604,O=C(N[C@H]1CCCNC1)c1ccccc1,A71EV2A-x3977/A/113/A_v1,True,F1 - A71_2A_open,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F1s - A71EV2A-x0152/A/201/1,A1 - monomer,F1 - A71_2A_open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71_2A_open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,A0269a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0278a,A71EV2A-x0278_A_201_v1,A71EV2A-x0278,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,A71EV2A-x0525/A/90/A_v1,True,F1 - A71_2A_open,4c - A71EV2A-x0525/A/246,4 - A71EV2A-x0525/A/246/1,F1z - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,A0278a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0278b,A71EV2A-x0278_A_147_v1,A71EV2A-x0278,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,A71EV2A-x0541/A/97/A_v1,True,F1 - A71_2A_open,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,A0278b,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0305a,A71EV2A-x0305_A_147_v1,A71EV2A-x0305,Z1639162606,CNS(=O)(=O)c1cccc(C)c1F,A71EV2A-x0541/A/97/A_v1,True,F1 - A71_2A_open,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,A0305a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0309a,A71EV2A-x0309_A_147_v1,A71EV2A-x0309,Z1685106505,Cn1ccnc1-c1noc(C2CCC2)n1,A71EV2A-x0486/A/143/A_v1,True,F1 - A71_2A_open,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,A0309a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0310a,A71EV2A-x0310_A_147_v1,A71EV2A-x0310,Z1688504114,Cc1nn(C)c(C)c1NC(=O)CC#N,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0310a,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0608a,A71EV2A-x0608_A_147_v1,A71EV2A-x0608,Z2064898339,Cc1ccc(CC(=O)NC[C@@H]2CCCO2)cc1,A71EV2A-x0486/A/143/A_v1,True,F1 - A71_2A_open,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,A0608a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0691a,A71EV2A-x0691_A_201_v1,A71EV2A-x0691,Z285782452,CNc1ccccc1S(C)(=O)=O,A71EV2A-x0541/A/97/A_v1,True,F1 - A71_2A_open,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,A0691a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0152a,A71EV2A-x0152_A_147_v1,A71EV2A-x0152,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,A71EV2A-x0525/A/90/A_v1,True,F1 - A71_2A_open,4c - A71EV2A-x0525/A/246,4 - A71EV2A-x0525/A/246/1,F1z - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,F1 - A71_2A_open,4c - A0525/A/246,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,A0152a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0152b,A71EV2A-x0152_A_201_v1,A71EV2A-x0152,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,A71EV2A-x3977/A/113/A_v1,True,F1 - A71_2A_open,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F1s - A71EV2A-x0152/A/201/1,A1 - monomer,F1 - A71_2A_open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71_2A_open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,A0152b,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0188a,A71EV2A-x0188_A_147_v1,A71EV2A-x0188,Z355202286,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,A71EV2A-x0541/A/97/A_v1,True,F1 - A71_2A_open,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71_2A_open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,A0188a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
